review;sentiment
"Gladiator is a historical epic from director Ridley Scott. After being betrayed by the new Caesar, Roman general Maximus is sold into slavery as a gladiator where he rises to fame as a people's champion and finds an opportunity to exact his revenge. Russell Crowe, Joaquin Phoenix, and Connie Nielsen lead the cast and deliver strong performances. Additionally, the gladiator fights are especially dynamic and exciting, featuring several different styles of combat. The costumes and sets are also remarkably well-done, and create a vivid depiction of ancient Rome. And, Hans Zimmer's score does an excellent job at capturing the tone of the film. Thrilling and action-packed, Gladiator delivers a compelling tale. ""Are you not entertained?!""";positive
"I have to say, and no pun-intended: Into the Spider-Verse is a total marvel, all the way down to its stylish and diverse styles of animation to its bold, sophisticated storytelling. The visuals are absolutely enchanting. Fast, colorful, and distinct. Something Sony Animation always nails is how each character has a pronounced look and movement. With the various kinds of Spider-Men and Marvel villains featured in this story, the animators went all out to give them a unique identity. Notably in this case are Spider-Man Noir, Peni Parker, and Spider-Ham. Noir, whose universe takes place in 1930s New York, boasts a dark, shadowy vibe similar to Sin City, Peni Parker has a bubbly anime look, and Spider-Ham is a bouncy, eccentric cartoon character who takes full advantage of his absurd existence to deliver some of the film's best laughs. Even with these different identities, the film slows down to balance their character in a serious nature. Heck, one of the most hard-hitting, poignant lines is spoken by Spider-Ham, the breakout comedic relief.

Miles and a majority of characters share the same art style. I really enjoy the blend of 3D models with traditional 2D movement. It's very appealing to watch and it seamlessly matches the comic book theme. I also appreciate the stylization of certain villains. Kingpin is a character I don't think was portrayed accurately outside of the comics, just appearing as a generic, heavy-set bald brute, when he's really an enormous, borderline non-human tank. Kingpin looks excellent in this film, with his titanic body and small head with an intimidating grimace. He's a powerful force and a legitimately scary antagonist. Doc Ock is another example, portrayed as a brilliant, but outlandish female scientist with a psychotic passion for villainy. I didn't feel like I needed to know more about her character, she was such a fun villainess to watch. She really added to the suspense in some action sequences.

I really loved the story. I thought it was rich with charm and thrills. Granted, I did notice some familiar elements that are done to death in superhero fiction and the animation canon alike, such as surprise villain reveals and major character deaths that were obviously seen coming, and I certainly wish some characters (espeically Miles' uncle) had more screentime, but there's one fact that overshadows these flaws for me: The writing is mature. First of all, it's a Sony Animation product. If you look at this company's past work, some of it is very soulless with its marketing and panders to its audience with incessant pop culture references and juvenile comedy. Into the Spider-Verse is a welcome departure. Passion and integrity was put into this project. The writing is very grounded and treats its audience like people who want to see a genuinely captivating flick. Heck, the first third of the film is somewhat slow and nonchalant, almost like an arthouse film. I've never had such a cool, yet off-beat and engaged feeling while watching an animated film on the big screen. Nothing was forced, nothing felt out-of-place, nothing took me out of immersion. The tone and pacing is very adult, even when something excessively goofy like Spider-Ham is on-screen. It's like the Marvel Cinematic Universe. It can be dark and distressing, but lighthearted and amusing. There's a perfect balance and it never sacrifices integrity just to appeal to a niche audience. Well...there is that after-credits scene, but it was quite hilarious, so I let it pass.

That's the most I can say without spoiling a lot of the film. I want you to see this absolute marvel with your own eyes. To close, Into the Spider-Verse is everything I hoped it would be. This is a game-changer for both superhero filmmaking and animation altogether. Sleek, colorful, funny, emotional, frenetic. This film skillfully balances all these elements. There is never a moment that felt forced, it never talks down to the audience. It's a mature and stylish take on the Spider-Man mythos, and perhaps the best big-screen Spidey picture to date with some of the best animated visuals you'll ever see. I didn't have a single issue with this film. I was dazzled and moved throughout. Sony Animation, if this was your apology for The Emoji Movie, then apology goddamn accepted. Massive bravo!";positive
"I genuinely did not enjoy this movie. Coming from someone who thought the first Deadpool was very good, I thought this one was far worse. I recall laughing only 3-4 times, as the comedy was poorly written and unfunny. Simply having Ryan Reynolds break the fourth wall to acknowledge the fact that the writing is ""lazy"", does not make it ok for the writing to be lazy. I also feel the action was far worse in this film compared to the first one, with there being far too many cuts for an audience member to follow what's happening. Overall I feel every aspect of this movie was done worse than the first one. I frankly wouldn't reccomend it, as I was bored, unamused, and am already forgetting what happened throughout the film. Unless you're a hardcore Marvel fan, I see no point in spending your money to go and see this movie.";negative
Two days ago I watched Leon after little more than 10 years since I last saw the movie in a theater. I had fond memories of getting goose bums last time around. But this time around the feeling was completely opposite. I couldn't even finish watching the DVD. Stopped watching just when the last fight scene was about to start... After watching movies over the years, realized Leon is just another flick made by Hollywood with all the formulas and recipes they use repeatedly to make the mass dumber and dumber. The dialogues were so awful. Both the main actors were unbearable this time around. The so-called anti hero is given a set of activities to make him look villainous... I have watched movies like Godfather, Lost in Translation a number of times. Each time I appreciate the thought process that went into making such movies. But Leon is completely out of my list of movies. Don't regret the money spend on buying the DVD, but the time wasted...;negative
"The sixth installment in the blockbuster 'MISSION: IMPOSSIBLE' film series (based on the popular 60s' TV show) starring Tom Cruise, once again reprising his iconic role as IMF agent Ethan Hunt. Hunt and his team must this time stop a crime syndicate from gaining possession of three plutonium cores. The film was directed and written by Cruise's frequent filmmaking partner Christopher McQuarrie (who also performed both duties on the last sequel). Simon Pegg, Ving Rhames, Rebecca Ferguson, Sean Harris, Alec Baldwin and Michelle Monaghan all reprise their roles from other chapters as well; while Henry Cavill, Angela Bassett and Vanessa Kirby join the cast. The film has gotten almost unanimous positive reviews from critics (the best of the series, and some of the best for any film so far this year), and it's also another big hit at the Box Office as well. I enjoyed it, but I don't think it's quite as good as the last two installments, or the classic original, and it's definitely not as good as all of it's hype. Still it's a really well made and mostly entertaining spy action flick, with Tom Cruise giving another outstanding performance yet again (despite the fact that he's growing much older). I liked it a lot, but not as much as a lot of the critics I guess.";positive
I just came back from a pre-screening of 'Kingsman' and let me tell you: if you liked the first Kick-Ass, you are going to LOOOVE this film! I would never have thought that a stiff Brit like Colin Firth could pull off action - but boy, does he whoop ass in this one. I thought the story was rather original (don't know the Comic), it's a bit like an ultra violent James Bond parody. Or better: a crossbreed of Bond and Kick-Ass. Finally an action movie that doesn't use kiddie-gloves. The kid who plays the recruit is also worth mentioning. I've never seen him before but he really nails it. There's a lot of humor in this film, it really doesn't take itself too seriously, but it's not overdone. And Sam Jackson finally found something he hasn't done yet. I guess his role was already spoiled a bit in the trailer, but believe me: you haven't seen Jackson in this kind of part before. This is an excellent, over-the-top bloody and sexy film for fans of old-school action films. I give it 10 stars. Highly recommended!;positive
Clever slick and all Steed-shiny...but this film, poached from KILL BILL, THE SAINT, INCEPTION, THE AVENGERS, any 60s BOND etc...with added CLOCKWORK ORANGE violence simply shows that Matthew Vaughn is just another vile Tarantino wannabee handed a big budget and excessively indulgently produced a stupid film with set pieces of boring ugly violence. Some scenes, as in the church, are just disgusting, and from that point the interest level wanes. The scenes in the mountain lair are INCEPTION meets ON HER MAJESTYS SECRET SERVICE with absurd and endless killing which ultimately made me feel ill. 30 minutes too long and from a clown copycat director, this film is great initially, for 60 minutes and then irritating and vile for 70 minutes. Yes the damn thing runs 130 minutes. I really did feel sick and exhausted when it finished. I thought it all a shocking waste of production money time and the studio's trust. To show contempt for the audience with such cretinous perverse 'action' and result, the villain even spews on the audience. Then there is the 'hilarious' anal sex joke. The last 70 minutes of this chrome dildo of a movie are truly horrible.;negative
Daniel Craig's debut as 007 which he knocked out of the park. A very grounded, smart, realistic James Bond film. Casino Royale is debatably for most fans the best Bond film and I can honestly view this film as a movie of its own to be honest. Daniel Craig is the best bond since Sean Connery.;positive
"Poor childish jokes, hundreds of sexual assault scenes where it was supposed to be empowering and quite frankly idiotic levels of feminist nonsense where you knew the female villains were going to beat up the male ones regardless of realism.

Its one of those films that if you are 11 years old you might enjoy but considering the rest of the content you would never let your 11 year old watch it. Thus it massively missed its mark.

Punching people in the groin is not funny, it stopped being funny back in 1990 when I was 11 when will Hollywood realise that. And if you are going to do things like that at least have some gender balance and have it happen to women as well.";negative
"To everyone who enjoyed the film, congratulations it's always nice to spend a few hours escaping from reality in the theatre.

For those of us hoping the creators would build on the previous two films and complete a fine movie trilogy, sadly I left the theatre entirely underwhelmed. The movie was at best a video game with shallow characters and a boring story. At the 2 hour point I heard myself begging for the film to end but it would not.... for another 45 minutes!! How was I rewarded for remaining in my seat for nearly an hour? Batman takes a nuclear weapon out into the Atlantic (after wasting some of the precious last few seconds kissing Anne Hathaway and making Gary Oldman look a bit of a dill) where it explodes. The fact that a cloud of lethal radiation blown by onshore breezes to liquidate the cheering people of Gotham within a day annoyed me but not as much as Batman surviving the detonation!!! I was fine with them planting a headstone and delivering a eulogy but did they need to show him sipping a latte like smug a Goldman Sachs executive retired to the Riviera with their GFC bonus!! The most genuine and believable part of the film was Michael Caines resignation. When he sobbingly explains why he must leave because he can no longer stand by and watch everything he worked for and loves be destroyed in an act of selfish futility..... I couldn't help thinking he made the same speech in Chris Nolan's office! Compared to it's predecessors and the third installments of other film trilogies.... this was a very unsatisfying and poor film.";negative
"I have got to tell anyone who will listen that this is one of THE best adventure movies I've ever seen. It's almost impossible to convey how pumped I am now that I've seen it. I purposefully avoid hyping myself for movies because when expectations are too high, nothing seems to be able to reach them. I usually avoid the hype train whenever possible. That said, I was jacked to see this movie and was fully aboard the hype train. It couldn't be helped. So, I was certainly open to intense disappointment had this movie not been good. I'm so happy to report just the opposite has happened.

The only word I can think of to describe this movie is AWESOME. It's amazing work and everything I had hoped for and more. It's exceptional entertainment for the uninitiated but it has everything a fanboy could want to be sure. It has every little nuance of what a fanboy wants to see. One of the MANY things I loved was the tension and flat out conflict that arises between team members. It's not a two dimensional ""team wonderful that bands together to fight crime ho ho ho."" Most don't like each other at fist and there is so much texture to be played. That is great because so many of these characters are larger than life. They have egos and the big guns aren't used to working with other people or even playing by the rules. Stark, Thor and Banner all work ""the other side of the fence"" so to speak. Then there's the Widow, Hawkeye and Captain America who are used to following orders and playing within a command structure. They are all thrown together in a wonderful and, best of all, believable fashion. Again, more than I ever dreamed possible.

The entire cast really delivered. You needed more than just action actors or stunt doubles to play all these parts. The pathos is there but so are the timing and true deep performances. Look, I was missing Ed Norton as much as anyone on that hype train I talked about but I'm so happy to say that Mark Ruffalo won me over. I hope he's locked up for the long haul because we don't need any more changes. Three was the lucky number for movie Banners. Every other actor in Avnegers that we've seen before is BETTER than their previous incarnation (EVERY single one) with the possible exception of RDJ as Stark. He's great but it's hard to top his take on the character from the original Iron Man in an ensemble movie. I also have to fully disclose that I'm insanely attracted to Scarlett Johansson. I thought her Widow character was amazing but I'm definitely judging that through rose colored glasses. The character arcs that run there course during this film will surprise a lot of general audiences expecting nothing more than a Transformers type popcorn scarfdown.

I honestly don't want to give away ANY of the movie with this review because this is one film that needs every scene to be savored. Do yourself a favor and remain unspoiled. It's how I saw the movie (apart from what the trailers showed) and even though you're obviously reading this review, read no others with any kind of spoilers whatsoever. Experience the awesomeness for yourself. Avengers as a movie and as a team on screen is an unstoppable force. I'm just going to say, Hulk & Thor combination equals AWESOME and leave it at that. This movie defines MUST SEE.";positive
"In my attempt to rewatch all the MCU-movies chronologically I began with the first Iron Man. To cut to the chase: it's still good. A couple of things astonished me, though:

First of all, a common mistake of the later Marvel-movies isn't made here. There is actually some sort of character development visible. Tony ends the movie as a totally different person. Of course, in an origin story it's easier to have your protagonist change but let's compare for a second: Is Ant-man really a changed man at the end of the movie? What about Star Lord? What about Thor? Black Widow? Hawkeye?

Then again, you have to give it to the director that he really made a well-paced, well-balanced movie. There is action, humour, drama, world establishing, all in great balance. The final fight isn't stretched too long and therefore doesn't get boring. You can't underestimate this in our age of 45 mins battles at the end of movies.

During my re-watch I also noticed how 'down to earth' this movie is if you compare it to some of the more recent MCU-entries. It just looks more real than them. It's set in a world that at least COULD be real which makes us care more for the characters and their actions. More explosions and obvious cgi-effects don't improve a movie. So the movie doesn't feel as bloated as some other superhero flicks.

Finally, Iron Man is still fun to watch and not just a vehicle to set up a franchise. If you've spent the last couple of years on the moon and haven't seen any of the MCU-movies, give this a try.";positive
Finally saw this movie (yes 4 years late) and I understand why Leonardo won the Oscar, along with the many academy awards the movie and director won. It is a cinematic masterpiece. The cinematography is amazing, the whole cast (Tom Hardy is great here) is great. The costumes and weapons used (early 1800s) look so damn good. The story is very simple and not complicated. It is about revenge and surviving in the cold and icy wilderness of 1823. The action scenes are brutal and gritty, like they should be for that time period. Officially in my top 10 movies of all time. If you've never seen this film, do yourself a favor and rent it or buy it. It definitely deserves to be in your collection. Some people might not like all the spiritual stuff or reading subtitles (lots of Native American language here) but it is needed since there a lot of interaction with Native American tribes here. FINAL REVIEW 10/10;positive
"Yes this review is 2 years after the film's release, but it has to be said that this film is what I hoped all the new Star Wars films would be like. Rouge One to me is the best Star Wars film since the original trilogy. The pace and scripting of the movie are great, The story provide just enough time in each of the characters so that you feel invested in what happens to them, and the script is well written compared to any of the recent Star Wars movies, we even get a droid that gives CP3O a run for his money, providing just enough funny quips to keep the movie light in what to me is one of the darkest Star Wars films since the Empire Strikes Back.

Gareth Edwards has done the Star Wars universe proud, which sadly can't be said for the current mess that Disney has been releasing.

If you haven't managed to catch Rouge One yet, then give it ago as it will take you back to the fun and action of the originals, and also make you believe that the Star Wars franchise can produce something good when placed in the hands of someone who understood what Star Wars means to its loyal fans.

Is it perfect no, but it's dam close for me, so much so that this is the only Star Wars movie i have bought since the original trilogy.";positive
"The attempt at making a smaller-scale Bond with the plot revolving around a personal vendetta did not work. Some Random agent gone nuts - which MI6 hosed - wants payback. I could not make myself care about the man's issues or reasons. The dialogue throughout the movie was dreadfully dull and uninspiring - same goes for the characters. There wasn't even one real joke or attempt at lifting the mood which at least in older Bond movies was the norm.

They murdered the Bond girl. Just like that to show how evil the Random agent gone nuts supposedly is. Thanks to the same guy we also get the most remarkable computer-related doohickey for quite some time. The plot's pacing heavily leans on terribly executed and utterly unbelievable magic, which the writers probably mistook for ""hacking"". I can't fathom what they had in mind but repeated use of awkward magic steadily maims audience's immersion into a thousand pieces.

After that treatment, probably the most touching part of the movie was the destruction of the Skyfall manor. Every engraved wood panel and chiseled stone block was, unlike this movie, a piece of art in itself. And they leveled it all for the purposes of making fleeting entertainment for Western consumers.

About cinematography: Thanks to digital video capture, dark scenes were immaculately clean, but the image fell apart in brighter outdoor scenes. I don't appreciate the looks of light sources and lighter tones in digital video. It is too big of a tradeoff to get a cleaner picture. Colors were quite realistic (read: boring) which suit the overall tone of the movie well.

Nevertheless the movie had some inspired shots, including a silhouette fistfight against a skyscraper-tall advertisement, sailboat in ocean and again some silhouettes against a burning manor on the moors. The highlight probably was when drowning Bond shot an underwater flare, lighting the water below thin ice and contrasting marvelously with the light of the burning manor above.

A true Bond fan does not leave a Bond movie unwatched, but it is difficult to invent reasons to go watch Skyfall with any great haste. Cinematography saves select parts of the movie, but overall Skyfall is not worth seeing even just for the visuals.";negative
This is the most over rated film since Crouching Tiger, Hidden Dragon. The Film is beautifully shot and is nice to look at for the first ten mintues or so but then it gets so boring and your mind begins to wander. I am just glad I didn't pay money to see this big-budget piece of garbage. It is unfunny and unexciting.;negative
Avatar tells a familiar story but its a story that works so well inside of this movie. The visuals and 3d are still one of the best to date and i totally get why it made so much money.;positive
"A very big letdown for such a moment in history. Recommend wait for HBO. Editing was terrible posting a foolish timeline that made no sense, midnight in France/daylight in England at the same time. Hundreds of small civilian boats assisted in the evacuation, not the dozens on the screen. Thousands of Brit Troops standing in lines exposed on the beach for evacuation with no ships in sight, waiting. Everything from an odd random torpedo scene to the rescued troops getting pulled into boats, soaking wet in oil/seawater then getting off in England wearing dry crisp uniforms.

The best dramatic gimmick? A valiant RAF pilot flies over the beachhead till he runs out of fuel, but he still has time gliding to shoot down one more Hun plane. That creates that final (5 minute) moment in the film where he quietly glides across the beach, providing that requisite film shot of all the British stars watching, biting their lips with respect.

Meanwhile, I am wondering why he is landing towards the German held beach? Then with all the emergencies on the plane (off course, landing gear won't come down) he continues to wear his high altitude breathing/comms headset? The plane lands, the pilot jumps out and stands looking at the dunes and approaching Germans. Now being filmed with the golden sunset lighting hue technique, we finally see the glowing pilot's face (IMO Tom Hardy, the best British Actor today) defiantly surrendering. You think they would have used real human stories from the event to tell the story... instead we get scenes created specifically for select stars who dropped by the set to spend the day shooting their lines. A wasted opportunity to tell an amazing story of how the civilian armada saved the day.";negative
"This segment of HP will disappoint all who read the novel. The Burrow burns down during x-mas break due to Bellatrix and Fenrir (who is never described as a werewolf) perhaps for the lack of action at the end of the movie...the Dursleys are completely cut from the movie, meaning when Dumbledore picks Harry up for the summer it's at the train station for some apparent reason...The Ginny/Dean/Harry dichotomy is skewed, there was no break up between Ginny and Dean and Harry is clearly in love with her from the start of the movie which eliminates his confusion on his feelings during the school year...Hermoine prematurely spills the beans on her feelings for Ron which was only speculation in the novels...Lavender Brown becomes a obsessive and crazed girlfriend rather than simply over-affectionate (a reminiscent Unis from She's the Man)...the battle scene is missing from the end giving Dumbledore's death an anticlimactic feel making it all the more unemotional and disappointing...Harry hides under the floor simply holding his wand looking like a coward while Dumbledore dies, Snape sees him hiding rather than Harry being frozen under his cloak compliments of Dumbledore ...There is no funeral or break up with Ginny at the end of it (there is no relationship between the two either simply a kiss)...Hagrid is basically deleted from the movie as is Neville...Pensive trips are deleted and the Horocruxes are never explained, not even slightly...Luna finds Harry on the Hogwarts Express rather than Tonks...The Slug Club simply makes a cameo rather than a proper introduction and explanation...the Inferi look more like skeletons compared to the white bodies described in the book...I'm sure more discrepancies are present, however I can only remember so many of them.

It is absolutely a horrible interpretation of the book and I hope that they look at all of the mistakes and gaps left for the next movie and fill them in with more than humor (they are supposed to be in the middle of an all out war aren't they?) I mean I didn't even feel emotional when Dumbledore was killed, I was too busy trying to figure out why Harry was acting like a stunned coward under the floor boards and not doing something, isn't that his thing...doing seemingly impossible rescue missions?!?!

I am utterly disappointed in this installment of HP!!";negative
